target_number,archetype_id,archetype_label,company_name,website_url,location_city,location_country,estimated_scale,decision_maker_name,decision_maker_title,contact_route,commercial_validation_signal,observable_friction,kachmo_solution_angle,personalized_outreach_hook
083,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Insight Legal,https://insightlegal.co.in/,New Delhi (Green Park Extension),India,Boutique litigation/arbitration office; founder-managing partner + named lawyer team across practice domains,Rahul Malhotra,Founder & Managing Partner,"info@insightlegal.co.in / 011-4360 4660 / C-3, 1st Floor, Green Park Ext., New Delhi-110016","Boutique Delhi firm handling ₹100+ crore infrastructure and construction disputes, IBC/NCLT insolvency, white-collar investigations and employment/POSH for individuals, startups and global companies",The WordPress homepage gates access behind a Bar Council disclaimer modal and plays a self-hosted MP4 background video. ₹100+ crore dispute capability is listed as dense domain text rather than demonstrated through matter narratives.,"Authority-first litigation site: matter-capability narratives, instant intake form, Core Web Vitals green for instant credibility",Insight Legal handles ₹100+ crore disputes but its WordPress homepage leads with a disclaimer gate and a self-hosted video; authority should load instantly.
084,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Kaizen Law,https://kaizenlaw.in/,Gurgaon,India,Boutique corporate law firm; founding partners + transaction team,Founding Partners,Corporate Law Principals,via website contact enquiry (kaizenlaw.in),"Self-described boutique corporate law firm in Gurgaon specialising exclusively in M&A, private equity, venture capital and commercial contracts","The firm states its boutique M&A, PE and VC focus up front, but the site offers little beyond practice-area labels - no deal narratives, no surfaced partner profiles and no clearly visible enquiry route. Corporate counterparties vet advisers on demonstrated transactions, which the site does not yet show.","Boutique corporate-law presence: transaction narrative framework, partner profiles, discreet enquiry channel for Gurgaon deals",Kaizen Law describes itself as a boutique M&A and PE firm for Gurgaon's dealmakers; its digital presence does not yet signal that calibre to counterparties.
085,4: Workflow/Booking Overhaul,4: Workflow/Booking Overhaul,Mosman Village Dentistry,https://mosmanvillagedentistry.com.au/,"Mosman, NSW",Australia,Independent husband-wife dental practice; two dentist-owners (50+ years combined) + hygiene/support staff,Dr David Wing & Dr Jennifer Chang,Dentist-Owners,"Book Online button / Contact Us page (mosmanvillagedentistry.com.au); 10/880 Military Rd, Mosman NSW 2088",Independent practice established 2007 by husband-and-wife team; 50+ years combined experience; affluent Mosman village catchment where porcelain veneers and implants carry premium fees,"The WordPress site still displays a 2021 'COVID-Safe' badge in its header imagery and reads as a general family-dentist practice. For a Mosman practice where porcelain veneers and implants command premium fees, the digital front door underplays the cosmetic capability.","Premium cosmetic-dental front door: veneer and implant case storytelling, online booking, polished Mosman-local presence",Mosman Village Dentistry is a 50-year-experience husband-wife practice on WordPress with a lingering 2021 COVID-safe badge; Mosman's cosmetic cases expect a premium front door.
086,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Rhino Roofing and Building Specialists Ltd,https://www.mybuilder.com/profile/rhino-roofing-and-building-specialists-ltd,Hornchurch,United Kingdom,Newly-incorporated roofing and landscape contractor trading under the ltd name; listed on trade directories only,Founding Director,Proprietor,via MyBuilder.com profile page (exact ltd-name listing),Actively listed under its exact registered name on MyBuilder and northdata; incorporated 8 Sep 2025 with SIC 43910 roofing activities plus 81300 landscape service activities - a live trading footprint with no owned web property,Every candidate domain for the registered name returns NXDOMAIN; the business trades purely through trade-directory profiles and has no website of its own to showcase roofing or grounds work.,"Fast single-page flagship build for a new trades business: service pages, completed-work gallery, call-first booking path, Core Web Vitals green",Rhino Roofing trades through MyBuilder with no site of its own; a same-day flagship page turns quote-seekers into direct calls instead of platform leads.
087,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,TS Plumbing & Heating Services (2026) Ltd,https://find-and-update.company-information.service.gov.uk/company/NI735092,Dromore,Northern Ireland,"Newly-formed plumbing, heating and air-conditioning installer (SIC 43220)",Founding Director,Plumbing & Heating Engineer,contact details not public at Companies House - approach via trading-name search around Dromore BT25,Incorporated 4 Nov 2025 in Northern Ireland as a pure plumbing/heating/air-conditioning installer; live trading entity entering its second year with no digital front door,"tsplumbingandheating.co.uk resolves to a GoDaddy parked page, not an operating site; no working website anywhere for a services business where emergency calls drive revenue.","Rapid high-speed landing build for emergency-call trades: click-to-call above the fold, service-area pages, review capture, mobile-first",TS Plumbing & Heating holds a parked domain while trading; emergency plumbing leads currently go to directories. A one-page flagship captures call-first customers directly.
088,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,"Diva Hair, Beauty Salon & Academy Ltd",https://find-and-update.company-information.service.gov.uk/company/16274237,Bedford,United Kingdom,Hairdressing and beauty academy/salon operation; director Meena Nahar listed as person with significant control,Meena Nahar,Director & Proprietor,owner verified via Companies House PSC; no public email - approach via local salon search or 192.com listing,Incorporated 25 Feb 2025; SIC 96020 hairdressing and beauty treatment; Meena Nahar listed as person with significant control - a real operating salon with an added training-academy angle,"Every candidate domain returns NXDOMAIN; the salon and academy are discoverable only via 192.com directory data, with no booking route, price list or course prospectus online.","High-trust salon rebuild with online treatment booking, course and accreditation prospectus, lookbook gallery and mobile-first local presence",Diva Hair runs a salon plus academy with no website at all; treatments and courses should book online rather than by phone-tag through a directory.
089,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Electrical Installation Specialists Ltd,https://find-and-update.company-information.service.gov.uk/company/NI722988,Belfast,Northern Ireland,Electrical installation contractor (SIC 43210) trading in the Belfast enterprise area,Founding Director,Electrical Contractor,contact details not public at Companies House - approach via trading-name search around Belfast BT13,Incorporated 25 Oct 2024 in Northern Ireland; pure electrical-installation SIC 43210; active entity with aggregator-visible footprint but no owned web property,"All candidate domains return NXDOMAIN; the firm surfaces only on company-aggregator profiles - no portfolio of installations, no accreditation badges, no enquiry form for commercial work.","Trades-person flagship: NIC/ECA accreditation wall, project gallery, commercial enquiry route, emergency-call prominence",Electrical Installation Specialists shows up on aggregators but has no site; qualified commercial clients need an accreditation-backed front door before they enquire.
090,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,No 52 Cosmetic Clinic Ltd,https://find-and-update.company-information.service.gov.uk/company/16751790,Norwich,United Kingdom,Cosmetic and aesthetics practice; previously traded as No 52 Beauty and Aesthetics Ltd until a 2026 company-name change,Founding Practitioner,Aesthetic Clinician,enquiries via practice contact channel (Norwich; address not published at Companies House),"Incorporated 30 Sep 2025, having previously traded as No 52 Beauty and Aesthetics Ltd - an established aesthetic offer now operating under a refreshed clinical identity; SIC 96020 beauty treatment","The former-name trading identity has no functioning domain anywhere; a cosmetic practice that rebranded in Norwich has no site to present treatment menus, pricing or before-and-after galleries.","Premium single-page aesthetic-clinic build: treatment menu, transparent pricing, consent-led enquiry flow, before-and-after gallery layer",No 52 renamed itself from Beauty & Aesthetics to Cosmetic Clinic with no website to match; a rebrand deserves a site that presents treatments and pricing transparently.
091,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Tate Gardening Services Ltd,https://find-and-update.company-information.service.gov.uk/company/17289102,Bexhill-on-Sea,United Kingdom,Brand-new landscaping company incorporated 19 June 2026 (SIC 81300),Founding Director,Landscape Gardener,contact details not public at Companies House - approach via trading-name search around Bexhill TN39,"Freshly incorporated 19 Jun 2026 - a genuine day-one landscaping startup in East Sussex, still within its first filing year","tategardening.co.uk belongs to an unrelated, decade-established landscaping business in North Yorkshire - a same-name collision; the newly-formed Bexhill company has no web presence of its own.","New-trades launch package: service menu, gallery from day one, quote form, local SEO structure built in from launch rather than retrofitted","Tate Gardening Services launched in Bexhill this year with no site, while an unrelated North Yorkshire firm owns the matching domain; stake your own ground locally."
092,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,RV Joinery Ltd,https://find-and-update.company-information.service.gov.uk/company/16204833,Leyland,United Kingdom,"Joinery, carpentry, painting and domestic-building contractor (SIC 16230, 43320, 43341)",Founding Director,Carpenter-Joiner,contact details not public at Companies House - approach via trading-name search around Leyland PR26,Incorporated 23 Jan 2025 in Lancashire; active joinery and painting contractor trading through its first full year,"rvjoinery.co.uk resolves but serves an unrelated MDPI academic article about UK water co-governance - a re-registered or collided domain, not the joiner's site; no owned web property exists.","Craft joinery showcase build: bespoke cabinet and partition gallery, maker-process narrative, contractor enquiry path, fast static frontend",RV Joinery's matching domain hosts an unrelated research paper; the Lancashire workshop itself trades with no site for a craft that sells on visuals.
093,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,"Revitalize, Wellness & Beauty Ltd",https://find-and-update.company-information.service.gov.uk/company/16595277,Birmingham,United Kingdom,Hybrid beauty-treatment and physical-wellbeing practice (SIC 96020 and 96040),Founding Practitioner,Wellness & Beauty Therapist,"enquiries via premises contact (855 Bristol Road South, 1st Floor, Birmingham B31 2PA)",Incorporated 21 Jul 2025 in south Birmingham; combined beauty-treatment and well-being SICs indicate a hybrid salon and wellness-room operation,"revitalizewellnessbeauty.co.uk resolves to a budget domain-sales and parking listing page, not an operating site; no functioning website for a treatments business on Bristol Road.","Hybrid salon-wellness flagship: treatment menu across both disciplines, online booking, practitioner profiles, membership and retention angle",Revitalize Wellness & Beauty holds a parking page instead of a site; a combined beauty-and-wellness offer needs one destination that books both.
094,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Michelle Walker Beauty Therapy Ltd,https://find-and-update.company-information.service.gov.uk/company/SC843486,Ellon,Scotland,Solo beauty-therapy practice; traded briefly as Michelle Walker Beauty Therapy and Training Ltd before renaming in April 2026,Michelle Walker,Beauty Therapist & Proprietor,contact not public at Companies House - approach via Ellon AB41 salon search,"Incorporated 1 Apr 2025 in Ellon, Aberdeenshire; traded briefly as Michelle Walker Beauty Therapy and Training Ltd before renaming in April 2026 - a solo practitioner operation","All candidate domains return NXDOMAIN; the practice is visible only at Companies House, with no online presence for a service that clients book repeatedly.","Personal-brand beauty-therapy site: treatment menu, repeat-client packages and membership, online booking, local Aberdeenshire SEO","Michelle Walker Beauty Therapy renamed itself yet has no website; a therapist who relies on returning clients needs a bookable home, not just a company filing."
095,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Yew Store & Landscape Ltd,https://find-and-update.company-information.service.gov.uk/company/16404721,Sawbridgeworth,United Kingdom,"Landscape services plus plant and machinery hire (SIC 81300, 77390 equipment rental)",Founding Director,Landscaper & Plant Hire Operator,via third-party driveway-contractor directory listing (basildondriveways.co.uk profile),Incorporated 24 Apr 2025 in Hertfordshire; unusual dual model of landscape services plus machinery and equipment hire - two revenue lines under one limited company,Every candidate domain returns NXDOMAIN; the firm is listed only on a third-party driveway and paving directory - no site for either the landscaping side or the hire side.,"Dual-service build: landscaping portfolio plus equipment-hire catalogue with availability and booking enquiries, both funnels under one brand",Yew Store & Landscape runs landscaping and plant hire with only a third-party directory listing; both revenue lines deserve their own funnel on one site.
096,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Starscape Café Limited,https://find-and-update.company-information.service.gov.uk/company/SC880144,Glenrothes,Scotland,"Brand-new café operator (unlicensed restaurants and cafes, SIC 56102)",Founding Director,Café Operator,"contact details not public at Companies House - approach via trading-name search around Star, Glenrothes KY7","Incorporated 24 Feb 2026 - a genuinely new food-and-beverage business in Fife, still within its first filing year; first accounts due Nov 2027",All candidate domains return NXDOMAIN and the business appears only at Companies House and generic registry listings; a new café with no site loses discovery to Google Maps and Instagram alone.,"Hospitality launch page: menu, opening hours, location map, event and private-hire enquiry, Instagram-feed integration, mobile-first",Starscape Café opened in Glenrothes this year with zero web presence; cafés that live only on Instagram lose the customers searching for menus and opening hours.
097,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Bethesda Building Solutions Ltd,https://find-and-update.company-information.service.gov.uk/company/NI730422,Armagh,Northern Ireland,Building completion and finishing contractor; already filed accounts to 30 June 2026 (SIC 43390),Founding Director,Building Contractor,contact details not public at Companies House - approach via trading-name search around Armagh BT61,"Incorporated 12 Jun 2025 in Co. Armagh; notably it has already filed its first accounts to 30 Jun 2026 - an actively trading finisher and fit-out firm, not a shell",bethesdabuildingsolutions.co.uk resolves but hosts an unrelated MDPI research article on UK catchment governance - a re-registered or collided domain; the trading firm has no site of its own.,"Trades flagship for fit-outs and finishes: completed-project gallery, accreditation wall, contractor and homeowner enquiry routes, quote intake","Bethesda Building Solutions has filed accounts and trades, but its matching domain carries an unrelated research paper; a contractor that finishes buildings should finish its own front door."
098,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Deans Landscape and Maintenance Ltd,https://find-and-update.company-information.service.gov.uk/company/16632990,Middlewich,United Kingdom,"Landscape-service provider (SIC 81300); first confirmation statement lodged late, otherwise Active",Founding Director,Landscape & Grounds Contractor,via rooplex.co.uk aggregator listing for the exact ltd name,"Incorporated 6 Aug 2025 in Cheshire; pure landscape-service SIC 81300; confirmation statement lodged late - an administrative flag only, not accounts-overdue or strike-off","All candidate domains return NXDOMAIN; a pure-play landscaping contractor in Middlewich with no site to show maintained grounds, hard-landscaping or grounds-care contracts.","Grounds-maintenance flagship: service-area pages, contract-enquiry form for commercial estates, schools and housing, gallery, recurring-maintenance pitch",Deans Landscape trades with no site while chasing commercial grounds contracts; estate managers shortlist contractors that can prove scope online.
099,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,FAS2 Architectural Design Limited,https://find-and-update.company-information.service.gov.uk/company/16570807,Northolt,United Kingdom,"Architectural and urban-planning practice; planning application submitted Dec 2025 to Southwark Council, evidencing live project work",Founding Architect,Design Director,"via planning-application applicant record (Southwark Council ref T6HZX5BOKPZ00, submitted Dec 2025) or site contact form",Incorporated 9 Jul 2025; SIC 41201 construction of commercial buildings plus 71111 architectural activities plus 71112 urban planning and landscape architecture - a live design practice with council-submitted work,"fas2architecturaldesign.co.uk resolves but hosts an unrelated MDPI academic article - a collided or re-registered domain, not the practice studio site; confirmation statement lodged late (administrative flag only).","Architectural-studio presence: planning-approved project narratives, design process and RIBA-stage explainer, commission enquiry route","FAS2 Architectural Design has planning applications lodged but no studio website; architectural clients appoint on process narrative and approved work, not a filing record."
100,5: Zero-Presence Greenfield,5: Zero-Presence Greenfield,Advanced Maintenance & Repair NI Ltd,https://find-and-update.company-information.service.gov.uk/company/NI731026,Belfast,Northern Ireland,Motor vehicle maintenance and repair garage in Hannahstown; 192.com lists the firm as 'Car and Commercial Vehicle Repairs' (SIC 45200),Founding Director,Master Technician & Garage Owner,"via 192.com business-directory listing (Upper Springfield Road, BT17 0LZ category entry)",Incorporated 2 Jul 2025 in west Belfast; SIC 45200 maintenance and repair of motor vehicles; 192.com lists it as an operating car and commercial vehicle repair business,"All candidate domains return NXDOMAIN; the garage trades from Upper Springfield Road with only a directory entry - no site for MOT preparation, diagnostics or commercial fleet work. Confirmation statement lodged late (administrative flag only).","Garage flagship: services list covering MOT prep, diagnostics and fleet/commercial work, trust signals, click-to-call, collection-and-delivery booking angle",Advanced Maintenance & Repair NI works from Hannahstown with only a directory card; vehicle owners choose garages on displayed capability - a one-page site tips that decision.
